"Target","X","Y","Z"
"Target_1",-3430.7,-1059.6,-1274.2
"Target_2",-3452.9,898.2,-1273.7
"Target_3",-3470.8,3030.4,-1288.9
"Target_4",-3431.7,-1055.6,516.5
"Target_5",-3449.3,917.5,530.8
"Target_6",-3466.1,3043.7,548.1
"Target_7",-3431.6,-1054.2,1967.3
"Target_8",-3448,912.2,1953.1
"Target_9",-3463.7,3041.6,1943.8
"Target_10",577.2,4884.7,-1297.4
"Target_11",3928.3,4910.1,-1287.6
"Target_12",587.8,4881.8,194.9
"Target_13",3932.5,4908,168.9
"Target_14",596.9,4877.6,1413.5
"Target_15",2120.5,4885.1,1028.6
"Target_16",3940.5,4899,1431.2
"Target_17",9869.6,2684.5,529
"Target_18",9899,-954.7,-1266.2
"Target_19",9905.1,-1357.8,498.1
"Target_20",9903.9,-950.3,1946
