"Target","X","Y","Z"
"Target_1",861.7,-5907.1,-440.7
"Target_2",-1097,-5925.6,-441
"Target_3",-3228.9,-5939.9,-455.9
"Target_4",857,-5908.4,1349.6
"Target_5",-1116,-5922.2,1363.7
"Target_6",-3242.4,-5935,1381
"Target_7",855.8,-5908,2800.5
"Target_8",-1110.5,-5920.8,2785.8
"Target_9",-3240,-5932.9,2776.8
"Target_10",-5075.6,-1888.1,-464.4
"Target_11",-5094.5,1462.9,-454.2
"Target_12",-5072.7,-1878.1,1027.7
"Target_13",-5092.5,1466.9,1001.8
"Target_14",-5068.8,-1869.1,2246.7
"Target_15",-5073.2,-345.4,1861.4
"Target_16",-5083.5,1475.1,2263.9
"Target_17",-2858.3,7400.4,1361.9
"Target_18",782.6,7422.7,-433.7
"Target_19",1185.5,7428.1,1330.5
"Target_20",777.8,7427.8,2779.4
