"Target","X","Y","Z"
"Target_1",-2953.3,5943.8,-1277.2
"Target_2",-996.5,5965.9,-1277
"Target_3",1135.9,5984.1,-1291.5
"Target_4",-2949.5,5944.9,513.1
"Target_5",-977.5,5962.3,528.9
"Target_6",1148.5,5979.3,546.4
"Target_7",-2948.3,5944.6,1964.8
"Target_8",-983,5960.4,1951.2
"Target_9",1146.4,5976.6,1942.2
"Target_10",2990.5,1936.8,-1300.4
"Target_11",3015.5,-1415.5,-1290
"Target_12",2987.1,1925.8,192.4
"Target_13",3013.6,-1419.3,166.2
"Target_14",2982.8,1917,1412
"Target_15",2990.7,393.2,1026.6
"Target_16",3004.4,-1427.4,1428.4
"Target_17",789.9,-7357,526.8
"Target_18",-2851.2,-7386.1,-1270.9
"Target_19",-3253.9,-7392,492.8
"Target_20",-2846.7,-7391.5,1940.7
