ID,Target1,Target2,Length
A,RO_target4,RO_target1,3375
B,RO_target17,RO_target12,1254
C,RO_target29,RO_target18,3006
D,RO_target21,RO_target2,2056.5
E,RO_target2,RO_target1,4099
F,RO_target17,RO_target27,904
