ID,Target1,Target2,Length
A,Target_3,Target_12,4700
B,Target_12,Target_14,1219
C,Target_5,Target_9,2551
D,Target_3,Target_6,1838
E,Target_10,Target_5,5941
F,Target_13,Target_15,2005
